,AMP_IC50,CIP_IC50,GENT_IC50
INDOLEt2pp,0.0,0.0,0.0
INDOLEt2rpp_b,0.0,0.0,0.0
INDOLEtex_b,0.0,0.0,0.0
INSK,0.0,0.0,0.0
INSt2pp_copy1,0.0,0.0,0.0
INSt2pp_copy2,0.0,0.0,0.0
INStex,0.462582,5.752687,1.530114
INSTtex_b,0.0,0.0,0.0
IPDPS,0.0,0.0,0.0
IPMD,0.0,0.0,0.0
IPPMIa_b,0.0,0.0,0.0
IPPMIb_b,0.0,0.0,0.0
IPPS,0.0,0.0,0.0
ISETACabcpp,0.0,0.0,0.0
ISETACtex,0.0,0.0,0.0
K2L4Aabcpp,0.0,0.0,0.0
K2L4Aabctex,0.0,0.0,0.0
KARA1_b,0.0,0.0,0.0
KARA2,0.0,0.0,0.0
KDOCT2,0.0,0.0,0.0
KDOPP,0.0,0.0,0.0
KDOPS,0.0,0.0,0.0
Kt2pp,0.0,0.0,0.0
Ktex,0.0,0.0,0.0
L_LACD2,0.181463,0.944541,0.357386
LACZ,0.0,0.0,0.0
LACZpp,0.0,0.0,0.0
LCADi,0.0,0.0,0.0
LCARS,0.0,0.0,0.0
LCARS_b,0.0,0.0,0.0
LCTStex,0.0,0.0,0.0
LCTStpp,0.0,0.0,0.0
LEUt2rpp,0.0,0.0,0.0
LEUTAi,0.0,0.0,0.0
LEUtex,0.0,0.0,0.0
LPADSS,0.0,0.0,0.0
LSERDHr_b,0.0,0.0,0.0
LYSt2pp,0.0,0.0,0.0
LYStex,0.0,0.0,0.0
LYXI,0.0,0.0,0.0
LYXt2pp,0.0,0.0,0.0
LYXtex,0.0,0.0,0.0
M1PD,0.0,0.0,0.0
MALCOAMT,0.0,0.0,0.0
MALDDH,0.0,0.0,0.0
MALDt2_2pp,0.0,0.0,0.0
MALDtex,0.0,0.0,0.0
MALS,0.0,0.0,0.0
MALt2_2pp,0.0,0.0,0.0
MALTabcpp,0.0,0.0,0.0
MALtex,0.0,0.0,0.0
MALTtexi,0.0,0.0,0.0
MALTTRabcpp,0.0,0.0,0.0
MALTTRtexi,0.0,0.0,0.0
MAN6PI,0.0,0.0,0.0
MANAO_b,0.021764,0.902088,0.169467
MANptspp,0.0,0.0,0.0
MANtex,0.0,0.0,0.0
MCITD,0.0,0.0,0.0
MCITL2,0.0,0.0,0.0
MCITS,0.0,0.0,0.0
MCOATA,0.0,0.0,0.0
MCTP1App,0.0,0.0,0.0
MDH,2.208917,1.839236,2.268905
MDH_b,0.0,0.0,0.0
ME1,0.0,0.0,0.0
ME2,1.036415,2.243503,1.162658
MECDPDH5,0.0,0.0,0.0
MECDPS,0.0,0.0,0.0
MELIBt2pp,0.0,0.0,0.0
MELIBtex,0.0,0.0,0.0
MEOHtex_b,0.0,0.0,0.0
MEOHtrpp_b,0.0,0.0,0.0
MEPCT,0.0,0.0,0.0
METabcpp,0.0,0.0,0.0
METAT,0.0,0.0,0.0
METS,0.0,0.0,0.0
METSOX1abcpp,0.0,0.0,0.0
METSOX1tex,0.0,0.0,0.0
METSOXR1,0.0,0.0,0.0
METtex,0.0,0.0,0.0
MG2t3_2pp,0.0,0.0,0.0
MG2tex,0.0,0.0,0.0
MICITDr,0.0,0.0,0.0
MINOHPtexi,0.0,0.0,0.0
MLTG1,0.0,0.0,0.0
MLTP1,0.0,0.0,0.0
MLTP2,0.0,0.0,0.0
MLTP3,0.0,0.0,0.0
MN2tpp,0.0,0.0,0.0
MNLptspp,0.0,0.0,0.0
MNLtex,0.0,0.0,0.0
MNNH,0.004195,0.311328,0.062437
MNtex,0.0,0.0,0.0
MOADSUx,0.0,0.0,0.0
MOAT,0.0,0.0,0.0
MOAT2,0.0,0.0,0.0
MOBDabcpp,0.0,0.0,0.0
MOBDtex,0.0,0.0,0.0
MOCOS,0.0,0.0,0.0
MOHMT,0.0,0.0,0.0
MOX,0.0,0.0,0.0
MOX_b,0.0,0.0,0.0
MPTAT,0.0,0.0,0.0
MPTG,0.0,0.0,0.0
MPTS,0.0,0.0,0.0
MPTSS,0.0,0.0,0.0
MSO3abcpp,0.0,0.0,0.0
MSO3tex,0.0,0.0,0.0
MTHFC,0.0,0.0,0.0
MTHFD,0.0,0.0,0.0
MTHFR2,0.0,0.0,0.0
MTHTHFSs,0.0,0.0,0.0
NADH16pp,1.418081,0.72378,0.793244
NADK,0.0,0.0,0.0
NADS1,0.0,0.0,0.0
NAt3pp,0.0,0.0,0.0
NDPK1,0.0,0.0,0.0
NDPK2,0.0,0.0,0.0
NDPK3,0.0,0.0,0.0
NDPK4,0.0,0.0,0.0
NH4tex,1.79296,0.284884,0.592932
NH4tex_b,1.073548,1.157782,1.683985
NH4tpp,1.466266,0.842136,1.278025
NH4tpp_b,0.242656,0.084996,0.197914
NI2tex,0.0,0.0,0.0
NI2tpp,0.0,0.0,0.0
NNATr,0.0,0.0,0.0
NNDPR,0.0,0.0,0.0
NTD2,0.0,0.0,0.0
NTD2pp,0.0,0.0,0.0
NTD5pp,0.0,0.0,0.0
NTD7pp,0.0,0.0,0.0
O2tex,0.0,0.0,0.0
O2tpp,0.0,0.0,0.0
OAADC,0.0,0.0,0.0
OCBT,0.0,0.0,0.0
OCTDPS,0.0,0.0,0.0
OGMEACPD,0.0,0.0,0.0
OGMEACPR,0.0,0.0,0.0
OGMEACPS,0.0,0.0,0.0
OHPBAT,0.0,0.0,0.0
OMCDC,0.0,0.0,0.0
OMPDC,0.0,0.0,0.0
OPHBDC,0.0,0.0,0.0
OPHHX,0.0,0.0,0.0
OPMEACPD,0.0,0.0,0.0
OPMEACPR,0.0,0.0,0.0
OPMEACPS,0.0,0.0,0.0
ORNDC,1.792094,0.491406,3.020491
ORNtex,0.789579,0.216509,1.330799
ORPT_b,0.0,0.0,0.0
OXAMTC,0.0,0.0,0.0
OXCOAHDH,0.0,0.0,0.0
OXDHCOAT,0.0,0.0,0.0
P5CR,0.0,0.0,0.0
PACALDt2rpp,0.0,0.0,0.0
PACCOAE,0.0,0.0,0.0
PACCOAL,0.0,0.0,0.0
PANTS,0.0,0.0,0.0
PAPPT3,0.0,0.0,0.0
PAPSR,0.0,0.0,0.0
PDH,0.520632,0.289478,0.285733
PDX5PO2,0.0,0.0,0.0
PDX5POi,0.0,0.0,0.0
PDX5PS,0.0,0.0,0.0
PE160abcpp,0.0,0.0,0.0
PE161abcpp,0.0,0.0,0.0
PEAMNOpp,0.0,0.0,0.0
PEAMNtex,0.0,0.0,0.0
PERD,0.0,0.0,0.0
PFK,0.167017,0.028626,0.025117
PFK_2,0.0,0.0,0.0
PFK_3,0.0,0.0,0.0
PFL,1.381845,0.305528,0.801749
PGAMT_b,0.0,0.0,0.0
PGCD,0.0,0.0,0.0
PGI,0.179036,0.874976,6.45982
PGK_b,0.380487,0.087919,1.846394
PGL,0.0,0.0,0.0
PGM_b,0.012584,0.01219,0.06037
PGMT,0.0,0.0,0.0
PHEt2rpp,0.0,0.0,0.0
PHETA1_b,0.0,0.0,0.0
PHEtex,0.0,0.0,0.0
PHYTSpp,0.0,0.0,0.0
PIt2rpp,12.218541,7.356625,5.187749
PItex,0.0,0.0,0.0
PItex_b,1.751917,0.996953,1.32228
PMDPHT,0.0,0.0,0.0
PMEACPE,0.0,0.0,0.0
PMPK,0.0,0.0,0.0
PNTK,0.0,0.0,0.0
POR5,0.0,0.0,0.0
PPAt4pp,0.0,0.0,0.0
PPAtex,0.0,0.0,0.0
PPBNGS,0.0,0.0,0.0
PPC,0.0,0.0,0.0
PPCDC,0.0,0.0,0.0
PPCK,0.0,0.0,0.0
PPK_b,0.0,0.0,0.0
PPM,1.735934,1.198283,2.644438
PPM_b,0.0,0.0,0.0
PPM2,0.0,0.0,0.0
PPNCL2,0.0,0.0,0.0
PPND,0.0,0.0,0.0
PPNDH,0.0,0.0,0.0
PPPGO3,0.0,0.0,0.0
PRAGSr,0.0,0.0,0.0
PRAIi,0.0,0.0,0.0
PRAIS,0.0,0.0,0.0
PRAMPC,0.0,0.0,0.0
PRASCSi,0.0,0.0,0.0
PRATPP,0.0,0.0,0.0
PRFGS,0.0,0.0,0.0
PRMICI,0.0,0.0,0.0
PROt2rpp_b,0.0,0.0,0.0
PROt4pp,0.0,0.0,0.0
PRPPS,0.0,0.0,0.0
PSCVT,0.0,0.0,0.0
PSD160,0.0,0.0,0.0
PSD161,0.0,0.0,0.0
PSERT,0.0,0.0,0.0
PSERtex,0.0,0.0,0.0
PSP_L,0.0,0.0,0.0
PSP_Lpp,0.0,0.0,0.0
PSSA160,0.0,0.0,0.0
PSSA161,0.0,0.0,0.0
PTAr,1.259802,0.941559,1.111979
PTAr_b,0.0,0.0,0.0
PTHRpp,0.0,0.0,0.0
PTPATi,0.0,0.0,0.0
PTRCORNt7pp_b,5.216883,1.170255,2.150375
PTRCt2pp,0.155268,0.020374,0.09437
PTRCTA,0.0,0.0,0.0
PTRCtex,0.0,0.0,0.0
PTRCtex_b,0.0,0.0,0.0
PUNP1,0.0,0.0,0.0
PUNP1_b,0.0,0.0,0.0
PUNP2,0.0,0.0,0.0
PUNP3,0.0,0.0,0.0
PUNP3_b,0.0,0.0,0.0
PUNP5,0.0,0.0,0.0
PUNP5_b,0.0,0.0,0.0
PUNP6,0.0,0.0,0.0
PUNP7,2.042061,1.725114,0.275603
PYK,1.530136,0.473308,1.997338
PYNP2r,0.301962,0.04546,0.623475
PYNP2r_b,0.0,0.0,0.0
PYRt2rpp,0.244533,1.686556,0.395623
PYRtex,0.012308,0.08489,0.019913
QUIN2tex,0.0,0.0,0.0
QUIN2tpp,0.0,0.0,0.0
QUINDH,0.0,0.0,0.0
QULNS,0.0,0.0,0.0
R15BPK,0.0,0.0,0.0
R1PK,0.0,0.0,0.0
RBFK,0.0,0.0,0.0
RBFSa,0.0,0.0,0.0
RBFSb,0.0,0.0,0.0
RBK_L1,0.345274,0.554583,1.13994
RBP4E,3.685432,0.872006,12.872767
REPHACCOAI,0.0,0.0,0.0
RHCCE,0.0,0.0,0.0
RMI,0.0,0.0,0.0
RMK,0.0,0.0,0.0
RMNtex,0.0,0.0,0.0
RMNtpp,0.0,0.0,0.0
RMPA,0.0,0.0,0.0
RNTR1c2,0.0,0.0,0.0
RNTR2c2,0.0,0.0,0.0
RNTR3c2,0.0,0.0,0.0
RNTR4c2,0.0,0.0,0.0
RPE,0.0,0.0,0.0
RPE_b,0.0,0.0,0.0
RPI,0.0,0.0,0.0
RPI_b,0.0,0.0,0.0
SADH,0.0,0.0,0.0
SADT2,0.0,0.0,0.0
SBTPD,0.0,0.0,0.0
SBTptspp,0.0,0.0,0.0
SBTtex,0.0,0.0,0.0
SDPDS,0.0,0.0,0.0
SDPTA_b,0.0,0.0,0.0
SERAT,0.0,0.0,0.0
SERD_D,0.0,0.0,0.0
SERD_L,0.0,0.0,0.0
SERt2rpp,1.149577,1.430204,2.978873
SERt2rpp_b,0.0,0.0,0.0
SERt4pp,0.0,0.0,0.0
SERtex,0.0,0.0,0.0
SFGTHi,0.0,0.0,0.0
SGDS,0.0,0.0,0.0
SGSAD,0.0,0.0,0.0
SHCHD2,0.0,0.0,0.0
SHCHF,0.0,0.0,0.0
SHK3Dr,0.0,0.0,0.0
SHKK,0.0,0.0,0.0
SHSL1,0.0,0.0,0.0
SO4t2pp,0.0,0.0,0.0
SO4tex,0.0,0.0,0.0
SOTA,0.0,0.0,0.0
SSALy,0.0,0.0,0.0
SUCCt2_2pp,0.0,0.0,0.0
SUCCtex,0.0,0.0,0.0
SUCDi,0.0,0.0,0.0
SUCOAS,0.0,0.0,0.0
SUCOAS_b,0.0,0.0,0.0
SUCptspp,0.0,0.0,0.0
SUCRtex,0.0,0.0,0.0
SULR,0.0,0.0,0.0
TAGURr_b,0.994831,7.167144,0.418371
TALA,0.0,0.0,0.0
TALA_b,0.0,0.0,0.0
TARTD,0.29265,3.758861,1.797011
TARTRDtex,0.0,0.0,0.0
TARTRt7pp,0.01473,0.189196,0.09045
TARTRtex,0.000741,0.009523,0.004553
TARTt2_3pp,0.0,0.0,0.0
TAUDO,0.0,0.0,0.0
TAURabcpp,0.0,0.0,0.0
TAURtex,0.0,0.0,0.0
TDSK,0.0,0.0,0.0
TGBPA,0.0,0.0,0.0
THD2pp,0.0,0.0,0.0
THDPS,0.0,0.0,0.0
THMDt2pp_copy1,0.0,0.0,0.0
THMDt2pp_copy2,0.0,0.0,0.0
THMDtex,0.0,0.0,0.0
THRA,0.0,0.0,0.0
THRD,0.0,0.0,0.0
THRD_L,0.0,0.0,0.0
THRPtex,0.0,0.0,0.0
THRS,0.0,0.0,0.0
THRt2rpp,1.545035,2.826692,5.157525
THRt2rpp_b,0.0,0.0,0.0
THRt4pp,0.0,0.0,0.0
THRtex,0.0,0.0,0.0
THYMt3pp,0.306599,3.379346,1.70971
THYMtex_b,0.005411,0.059639,0.030173
THZPSN3,0.0,0.0,0.0
TKT1,0.0,0.0,0.0
TKT1_b,0.0,0.0,0.0
TKT2,0.0,0.0,0.0
TKT2_b,0.0,0.0,0.0
TMDK1,0.0,0.0,0.0
TMDPP,9.5e-05,0.001053,0.000533
TMDS,0.0,0.0,0.0
TMPK,0.0,0.0,0.0
TMPPP,0.0,0.0,0.0
TPI,0.775783,0.514866,2.382624
TRDR,0.0,0.0,0.0
TRE6PH,0.0,0.0,0.0
TREptspp,0.0,0.0,0.0
TREtex,0.0,0.0,0.0
TRPAS2,0.0,0.0,0.0
TRPAS2_b,0.0,0.0,0.0
TRPS1,0.0,0.0,0.0
TRPS3,0.0,0.0,0.0
TRPt2rpp,0.0,0.0,0.0
TRPtex,0.0,0.0,0.0
TRSARr,0.0,0.0,0.0
TYRL,0.0,0.0,0.0
TYRPpp,0.0,0.0,0.0
TYRPtex,0.0,0.0,0.0
TYRt2rpp,0.0,0.0,0.0
TYRTA_b,0.0,0.0,0.0
TYRtex,0.0,0.0,0.0
U23GAAT,0.0,0.0,0.0
UAAGDS,0.0,0.0,0.0
UAGAAT,0.0,0.0,0.0
UAGCVT,0.0,0.0,0.0
UAGDP,0.0,0.0,0.0
UAGPT3,0.0,0.0,0.0
UAMAGS,0.0,0.0,0.0
UAMAS,0.0,0.0,0.0
UAPGR,0.0,0.0,0.0
UDCPDP,0.0,0.0,0.0
UDCPDPS,0.0,0.0,0.0
UDPG4E_b,0.0,0.0,0.0
UGLT,0.0,0.0,0.0
UGLYCH,0.0,0.0,0.0
UGMDDS,0.0,0.0,0.0
UHGADA,0.0,0.0,0.0
UMPK,0.0,0.0,0.0
UMPtex,0.0,0.0,0.0
UPP3MT,0.0,0.0,0.0
UPP3S,0.0,0.0,0.0
UPPDC1,0.0,0.0,0.0
UPPRT,0.0,0.0,0.0
URAt2pp_copy1,0.0,0.0,0.0
URAt2pp_copy2,0.0,0.0,0.0
URAt2pp_copy2_b,2.14344,0.204838,1.401666
URAtex,0.0,0.0,0.0
URAtex_b,0.013001,0.001242,0.008502
URDGLYCD,0.0,0.0,0.0
UREAtex_b,0.0,0.0,0.0
UREAtpp_b,0.0,0.0,0.0
URIC,0.0,0.0,0.0
URIK2,0.0,0.0,0.0
URIt2pp_copy1,0.0,0.0,0.0
URIt2pp_copy2,0.0,0.0,0.0
URItex,0.0,0.0,0.0
USHD,0.0,0.0,0.0
VALt2rpp,0.0,0.0,0.0
VALTA_b,0.0,0.0,0.0
VALtex,0.0,0.0,0.0
VPAMTr,0.0,0.0,0.0
VPAMTr_b,0.0,0.0,0.0
X5PL3E,0.0,0.0,0.0
XAND,0.0,0.0,0.0
XANtex,0.0,0.0,0.0
XANtpp,0.0,0.0,0.0
XPPT,0.0,0.0,0.0
XTSNt2rpp,0.047307,0.041253,0.009172
XTSNtex,0.002381,0.002076,0.000462
XYLI1,0.0,0.0,0.0
XYLI2,0.0,0.0,0.0
XYLK,0.0,0.0,0.0
XYLK2,0.0,0.0,0.0
XYLt2pp,0.0,0.0,0.0
XYLtex,0.0,0.0,0.0
Zn2tex,0.0,0.0,0.0
ZN2tpp,0.0,0.0,0.0
