,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
MTHFR2,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.18,0.19
NADH16pp,31.02,0.0,6.9,9.91,12.93,15.94,18.96,21.97,24.99,28.01,31.02,33.09,34.04,34.99,35.93,36.59
NDPK1,0.78,0.0,0.15,0.23,0.3,0.38,0.46,0.54,0.62,0.7,0.78,0.84,0.87,0.91,0.94,0.97
NDPK2,0.42,0.0,0.08,0.12,0.16,0.21,0.25,0.29,0.33,0.38,0.42,0.45,0.47,0.49,0.51,0.52
NDPK3,0.18,0.0,0.03,0.05,0.07,0.09,0.11,0.12,0.14,0.16,0.18,0.19,0.2,0.21,0.22,0.22
NDPK4,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
NH4tex,10.61,0.0,2.01,3.08,4.16,5.23,6.31,7.38,8.46,9.54,10.61,11.41,11.9,12.38,12.86,13.31
NH4tpp,10.61,0.0,2.01,3.08,4.16,5.23,6.31,7.38,8.46,9.54,10.61,11.41,11.9,12.38,12.86,13.31
O2tex,17.58,0.0,3.97,5.67,7.37,9.07,10.77,12.47,14.18,15.88,17.58,18.5,18.5,18.5,18.5,18.5
O2tpp,17.58,0.0,3.97,5.67,7.37,9.07,10.77,12.47,14.18,15.88,17.58,18.5,18.5,18.5,18.5,18.5
OCBT,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
OMCDC,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.48,0.5,0.52,0.54,0.56
OMPDC,0.32,0.0,0.06,0.09,0.13,0.16,0.19,0.23,0.26,0.29,0.32,0.35,0.36,0.38,0.39,0.41
ORPT_b,0.32,0.0,0.06,0.09,0.13,0.16,0.19,0.23,0.26,0.29,0.32,0.35,0.36,0.38,0.39,0.41
P5CR,0.22,0.0,0.04,0.06,0.09,0.11,0.13,0.15,0.17,0.2,0.22,0.23,0.24,0.25,0.26,0.27
PAPPT3,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
PAPSR,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
PDH,7.97,0.0,1.76,2.54,3.32,4.09,4.87,5.64,6.42,7.19,7.97,8.97,10.23,11.5,12.76,14.24
PE160abcpp,0.05,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06
PE161abcpp,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
PFK,5.75,0.0,1.13,1.71,2.29,2.86,3.44,4.02,4.6,5.17,5.75,6.1,6.17,6.24,6.32,6.54
PFK_3,1.17,0.0,0.18,0.3,0.43,0.55,0.67,0.8,0.92,1.04,1.17,1.34,1.59,1.83,2.07,2.07
PFL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
PGAMT_b,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
PGCD,1.69,0.0,0.32,0.49,0.66,0.83,1.0,1.17,1.35,1.52,1.69,1.82,1.89,1.97,2.05,2.05
PGI,5.92,0.0,1.35,1.93,2.5,3.07,3.64,4.21,4.78,5.35,5.92,6.34,6.59,6.84,7.08,8.07
PGK_b,16.27,0.0,3.34,4.95,6.57,8.19,9.81,11.42,13.04,14.66,16.27,17.9,19.54,21.19,22.83,24.72
PGL,4.08,0.0,0.65,1.07,1.5,1.93,2.36,2.79,3.22,3.65,4.08,4.66,5.41,6.16,6.92,6.93
PGM_b,14.59,0.0,3.02,4.46,5.91,7.36,8.8,10.25,11.69,13.14,14.59,16.09,17.65,19.22,20.78,22.67
PHETA1_b,0.18,0.0,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.16,0.18,0.2,0.2,0.21,0.22,0.23
PIt2rpp,0.95,0.0,0.18,0.28,0.37,0.47,0.56,0.66,0.76,0.85,0.95,1.02,1.06,1.11,1.15,1.19
PItex,0.95,0.0,0.18,0.28,0.37,0.47,0.56,0.66,0.76,0.85,0.95,1.02,1.06,1.11,1.15,1.19
POR5,0.11,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.11,0.12,0.12,0.13,0.13
PPC,2.91,0.0,0.55,0.85,1.14,1.43,1.73,2.02,2.32,2.61,2.91,3.13,3.26,3.39,3.52,3.65
PPK_b,3.44,0.0,0.65,1.0,1.35,1.7,2.05,2.4,2.74,3.09,3.44,3.7,3.86,4.02,4.17,4.32
PPND,0.14,0.0,0.03,0.04,0.05,0.07,0.08,0.09,0.11,0.12,0.14,0.15,0.15,0.16,0.16,0.17
PPNDH,0.18,0.0,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.16,0.18,0.2,0.2,0.21,0.22,0.23
PRAGSr,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
PRAIS,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
PRAIi,0.06,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07
PRAMPC,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
PRASCSi,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
PRATPP,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
PRFGS,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
PRMICI,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
PRPPS,0.92,0.0,0.17,0.27,0.36,0.45,0.54,0.64,0.73,0.82,0.92,0.99,1.03,1.07,1.11,1.15
PSCVT,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
PSD160,0.06,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08
PSD161,0.07,0.0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.09
PSERT,1.69,0.0,0.32,0.49,0.66,0.83,1.0,1.17,1.35,1.52,1.69,1.82,1.89,1.97,2.05,2.05
PSP_L,1.69,0.0,0.32,0.49,0.66,0.83,1.0,1.17,1.35,1.52,1.69,1.82,1.89,1.97,2.05,2.05
PSSA160,0.06,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08
PSSA161,0.07,0.0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.09
PTAr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.33,4.34,6.35,8.43
PTAr_b,0.57,0.0,0.11,0.17,0.22,0.28,0.34,0.4,0.46,0.51,0.57,0.0,0.0,0.0,0.0,0.0
RNTR1c2,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
RNTR2c2,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
RNTR3c2,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
RNTR4c2,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
RPE,1.96,0.0,0.29,0.49,0.7,0.91,1.12,1.33,1.54,1.75,1.96,2.29,2.75,3.22,3.69,3.67
RPI_b,2.08,0.0,0.35,0.57,0.79,1.0,1.22,1.43,1.65,1.87,2.08,2.33,2.61,2.9,3.18,3.22
SADT2,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
SDPDS,0.36,0.0,0.07,0.11,0.14,0.18,0.22,0.25,0.29,0.33,0.36,0.39,0.41,0.43,0.44,0.46
SDPTA_b,0.36,0.0,0.07,0.11,0.14,0.18,0.22,0.25,0.29,0.33,0.36,0.39,0.41,0.43,0.44,0.46
SERAT,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
SHK3Dr,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
SHKK,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.34,0.37,0.4,0.42,0.44,0.45,0.47
SHSL1,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.11,0.12,0.14,0.15,0.16,0.17,0.18,0.18,0.19
SO4t2pp,0.25,0.0,0.05,0.07,0.1,0.12,0.15,0.17,0.2,0.22,0.25,0.27,0.28,0.29,0.3,0.31
SO4tex,0.25,0.0,0.05,0.07,0.1,0.12,0.15,0.17,0.2,0.22,0.25,0.27,0.28,0.29,0.3,0.31
SUCDi,3.8,0.0,0.98,1.33,1.68,2.04,2.39,2.74,3.1,3.45,3.8,3.55,2.59,1.63,0.67,0.0
SUCOAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
SUCOAS_b,3.29,0.0,0.88,1.18,1.48,1.78,2.08,2.38,2.68,2.98,3.29,3.0,2.01,1.03,0.05,0.0
SULR,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
TDSK,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
THD2pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21
THDPS,0.36,0.0,0.07,0.11,0.14,0.18,0.22,0.25,0.29,0.33,0.36,0.39,0.41,0.43,0.44,0.46
THRD_L,0.29,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.32,0.33,0.35,0.36
THRS,0.53,0.0,0.1,0.16,0.21,0.26,0.32,0.37,0.43,0.48,0.53,0.58,0.6,0.62,0.65,0.67
TKT1,1.17,0.0,0.18,0.3,0.43,0.55,0.67,0.8,0.92,1.04,1.17,1.34,1.59,1.83,2.07,2.07
TKT2,0.79,0.0,0.11,0.19,0.28,0.36,0.45,0.54,0.62,0.71,0.79,0.94,1.17,1.39,1.62,1.6
TMDS,0.03,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
TPI,7.65,0.0,1.6,2.35,3.11,3.86,4.62,5.38,6.13,6.89,7.65,8.38,9.08,9.79,10.49,11.44
TRDR,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
TRPAS2_b,0.06,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07
TRPS3,0.06,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.07,0.07
TYRTA_b,0.14,0.0,0.03,0.04,0.05,0.07,0.08,0.09,0.11,0.12,0.14,0.15,0.15,0.16,0.16,0.17
U23GAAT,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
UAAGDS,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UAGAAT,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
UAGCVT,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UAGDP,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.12
UAGPT3,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UAMAGS,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UAMAS,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UAPGR,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UDCPDP,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UGMDDS,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
UHGADA,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
UMPK,0.37,0.0,0.07,0.11,0.15,0.18,0.22,0.26,0.3,0.33,0.37,0.4,0.42,0.43,0.45,0.47
USHD,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
VALTA_b,0.42,0.0,0.08,0.12,0.16,0.21,0.25,0.29,0.33,0.37,0.42,0.45,0.47,0.48,0.5,0.52
net_flux,698.89,0.0,148.96,217.7,286.45,355.19,423.93,492.67,561.41,630.15,698.89,749.4,783.61,817.82,852.03,888.84
