,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
NDPK6,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
NDPK7,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
NDPK8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
NH4tex,0.72,0.0,0.0,0.0,0.13,0.2,0.29,0.38,0.49,0.61,0.72,0.86,1.03,1.18,1.37,1.59
NH4tpp,0.72,0.0,0.0,0.0,0.13,0.2,0.29,0.38,0.49,0.61,0.72,0.86,1.03,1.18,1.37,1.59
O2tex,8.59,0.0,0.0,0.0,3.64,4.47,5.31,6.14,6.97,7.79,8.59,9.43,10.24,11.04,11.85,12.65
O2tpp,8.59,0.0,0.0,0.0,3.64,4.47,5.31,6.14,6.97,7.79,8.59,9.43,10.24,11.04,11.85,12.65
OCBT,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
OMCDC,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
OMPDC,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06
ORPT_b,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06
P5CR,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
PAPPT3,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
PAPSR,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02
PE160abcpp,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
PE161abcpp,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
PFK,9.9,0.0,0.0,0.0,3.97,4.96,5.95,6.94,7.92,8.91,9.9,10.88,11.86,12.85,13.83,14.81
PFL,19.17,0.0,0.0,0.0,7.82,9.75,11.62,13.51,15.38,17.24,19.17,20.95,22.77,24.63,26.4,28.17
PGAMT_b,0.04,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06
PGCD,0.13,0.0,0.0,0.0,0.03,0.04,0.06,0.08,0.09,0.12,0.13,0.16,0.18,0.21,0.24,0.27
PGK_b,19.69,0.0,0.0,0.0,7.92,9.89,11.85,13.82,15.78,17.73,19.69,21.65,23.6,25.55,27.5,29.44
PGM_b,19.56,0.0,0.0,0.0,7.9,9.85,11.79,13.74,15.68,17.62,19.56,21.49,23.42,25.35,27.26,29.17
PHETA1_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
PItex_b,0.43,0.0,0.0,0.0,0.13,0.18,0.23,0.28,0.33,0.38,0.43,0.47,0.51,0.55,0.58,0.61
PItpp,0.43,0.0,0.0,0.0,0.13,0.18,0.23,0.28,0.33,0.38,0.43,0.47,0.51,0.55,0.58,0.61
POR5,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.04,0.04,0.0,0.05,0.06,0.03,0.07,0.07
PPA,1.0,0.0,0.0,0.0,0.23,0.34,0.46,0.58,0.72,0.87,1.0,1.17,1.35,1.51,1.7,1.92
PPC,0.17,0.0,0.0,0.0,0.03,0.04,0.06,0.08,0.11,0.14,0.17,0.21,0.25,0.29,0.34,0.4
PPM_b,0.07,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1,0.11,0.13,0.15
PPND,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02
PPNDH,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
PRAGSr,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
PRAIS,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
PRAMPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
PRASCSi,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
PRATPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
PRFGS,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.07
PRMICI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
PSCVT,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
PSD160,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
PSD161,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
PSERT,0.13,0.0,0.0,0.0,0.03,0.04,0.06,0.08,0.09,0.12,0.13,0.16,0.18,0.21,0.24,0.27
PSP_L,0.13,0.0,0.0,0.0,0.03,0.04,0.06,0.08,0.09,0.12,0.13,0.16,0.18,0.21,0.24,0.27
PSSA160,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
PSSA161,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
PTAr,17.86,0.0,0.0,0.0,7.47,9.23,10.97,12.7,14.43,16.13,17.86,19.54,21.21,22.89,24.54,26.16
PYK,19.19,0.0,0.0,0.0,7.67,9.48,11.26,13.01,14.73,16.41,19.19,19.76,21.33,22.99,24.48,25.92
PYK2,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.08,0.09,0.08,0.11,0.12
PYK3,0.0,0.0,0.0,0.0,0.15,0.25,0.37,0.51,0.67,0.87,0.0,1.27,1.54,1.76,2.09,2.45
PYK4,0.07,0.0,0.0,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.09,0.09,0.1,0.11,0.12
PYK6,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
QMO2,4.44,0.0,0.0,0.0,2.07,2.48,2.91,3.32,3.71,4.09,4.44,4.85,5.2,0.0,5.9,6.2
R15BPK,0.07,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1,0.11,0.13,0.15
R1PK,0.07,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1,0.11,0.13,0.15
RNDR1b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
RNDR2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0
RNDR3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
RNDR4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0
RNTR1c2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.02
RNTR2c2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.02,0.02
RNTR3c2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.02,0.02
RNTR4c2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.02,0.02
RPE_b,0.06,0.0,0.0,0.0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.13
RPI_b,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.11
SADT2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
SDPDS,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06
SDPTA_b,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06
SERAT,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
SERt4pp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
SERtpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
SHGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0
SHK3Dr,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
SHKK,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05
SHSL1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02
SO4t2pp,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
SO4tex,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
SPODM,4.44,0.0,0.0,0.0,2.07,2.48,2.91,3.32,3.71,4.09,4.44,4.85,5.2,0.0,5.9,6.2
SUCDi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
SUCOAS,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.08
SULR,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
TALA_b,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04
TDSK,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
THD2pp,0.94,0.0,0.0,0.0,0.16,0.27,0.35,0.47,0.6,0.75,0.94,1.06,1.26,1.47,1.66,1.92
THDPS,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.06
THRD_L,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04
THRS,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.07
TKT1_b,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04
TKT2_b,0.04,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.09
TMDS,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
TPI,9.84,0.0,0.0,0.0,3.96,4.94,5.92,6.9,7.88,8.86,9.84,10.82,11.79,12.77,13.74,14.72
TRDR,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.01,0.05,0.02,0.02
TYRTA_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02
U23GAAT,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
UAAGDS,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UAGAAT,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
UAGCVT,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UAGDP,0.04,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06
UAGPT3,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UAMAGS,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UAMAS,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UAPGR,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UDCPDP,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UGMDDS,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
UHGADA,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
UMPK,0.05,0.0,0.0,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09
USHD,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
VPAMTr,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05
XYLI2,10.0,0.0,0.0,0.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
_3HAD161,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
_3OAR140,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05
_3OAR161,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
_3OAS140,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05
_3OAS161,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
rib_degradation,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04
trna_ch_ala__L_c,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.07
trna_ch_arg__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03
trna_ch_asn__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
trna_ch_asp__L_c,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
trna_ch_gln__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
trna_ch_glu__L_c,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
trna_ch_gly_c,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06
trna_ch_his__L_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
trna_ch_ile__L_c,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04
trna_ch_leu__L_c,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05
trna_ch_lys__L_c,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04
trna_ch_met__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
trna_ch_phe__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
trna_ch_pro__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02
trna_ch_ser__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03
trna_ch_thr__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04
trna_ch_tyr__L_c,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02
trna_ch_val__L_c,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.04,0.04,0.05
net_flux,516.48,0.0,0.0,0.0,210.49,261.27,312.16,362.99,413.83,464.68,516.48,566.41,617.3,662.67,719.11,770.07
