,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
NADH16pp,33.45,0.0,8.96,12.59,16.22,19.85,23.48,27.11,30.74,32.45,33.45,34.45,35.44,36.44,36.69,36.68
NDPK1,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDPK2,0.33,0.0,0.07,0.1,0.14,0.18,0.22,0.0,0.3,0.32,0.33,0.35,0.36,0.38,0.39,0.4
NDPK3,0.14,0.0,0.03,0.04,0.06,0.08,0.0,0.0,0.13,0.14,0.14,0.15,0.15,0.16,0.17,0.17
NDPK4,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
NH4tex,8.46,0.0,1.67,2.65,3.62,4.6,5.57,6.55,7.52,8.07,8.46,8.84,9.23,9.62,9.92,10.2
NH4tpp,8.46,0.0,1.67,2.65,3.62,4.6,5.57,6.55,7.52,8.07,8.46,8.84,9.23,9.62,9.92,10.2
O2tex,18.5,0.0,5.32,7.42,9.52,11.62,13.72,15.83,17.93,18.5,18.5,18.5,18.5,18.5,18.5,18.5
O2tpp,18.5,0.0,5.32,7.42,9.52,11.62,13.72,15.83,17.93,18.5,18.5,18.5,18.5,18.5,18.5,18.5
OCBT,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
OMCDC,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.34,0.35,0.37,0.39,0.4,0.41,0.43
OMPDC,0.26,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31
ORPT_b,0.26,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.25,0.26,0.27,0.28,0.29,0.3,0.31
P5CR,0.17,0.0,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.17,0.18,0.19,0.2,0.2,0.21
PAPPT3,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
PAPSR,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
PDH,10.46,0.0,2.27,3.2,4.13,5.06,5.98,6.91,7.84,9.09,10.46,11.82,13.19,14.56,13.65,11.78
PE160abcpp,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06
PE161abcpp,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07
PFK,5.25,0.0,1.2,1.83,2.2,3.11,3.83,4.74,4.99,5.2,5.25,5.29,5.34,5.39,5.45,5.6
PFK_3,0.89,0.0,0.01,0.09,0.16,0.24,0.31,0.39,0.46,0.65,0.89,1.12,1.35,1.59,1.69,1.74
PFL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,6.1
PGAMT_b,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
PGCD,1.34,0.0,0.27,0.42,0.58,0.73,0.89,1.04,1.2,1.28,1.34,1.41,1.47,1.53,1.53,1.57
PGI,6.88,0.0,1.87,2.59,3.31,4.03,4.76,5.48,6.2,6.6,6.88,7.15,7.43,7.71,8.38,9.23
PGK_b,17.08,0.0,3.58,5.27,6.96,8.65,10.34,12.03,13.72,15.4,17.08,18.75,20.42,22.09,23.92,25.8
PGL,3.12,0.0,0.13,0.41,0.69,0.97,1.24,1.52,1.8,2.4,3.12,3.85,4.57,5.29,5.62,5.77
PGM_b,15.73,0.0,3.32,4.85,6.39,7.92,9.46,10.99,12.53,14.12,15.73,17.34,18.95,20.56,22.39,24.23
PHETA1_b,0.15,0.0,0.03,0.05,0.06,0.08,0.1,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.17
PIt2rpp,0.76,0.0,0.15,0.24,0.32,0.41,0.5,0.58,0.67,0.72,0.76,0.79,0.82,0.86,0.89,0.91
PItex,0.76,0.0,0.15,0.24,0.32,0.41,0.5,0.58,0.67,0.72,0.76,0.79,0.82,0.86,0.89,0.91
POR5,0.09,0.0,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1
PPA,2.74,0.0,0.54,0.86,1.17,1.49,1.81,2.12,2.44,2.62,2.74,2.87,2.99,3.12,3.22,3.31
PPC,2.32,0.0,0.46,0.73,0.99,1.26,1.53,1.79,2.06,2.21,2.32,2.42,2.53,2.64,2.72,2.79
PPND,0.11,0.0,0.02,0.03,0.05,0.06,0.07,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.13
PPNDH,0.15,0.0,0.03,0.05,0.06,0.08,0.1,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.17,0.17
PRAGSr,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
PRAIS,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
PRAIi,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
PRAMPC,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
PRASCSi,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
PRATPP,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
PRFGS,0.35,0.0,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.33,0.35,0.37,0.38,0.4,0.41,0.42
PRMICI,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
PRPPS,0.73,0.0,0.14,0.23,0.31,0.4,0.48,0.57,0.65,0.7,0.73,0.76,0.8,0.83,0.86,0.88
PSCVT,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
PSD160,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06
PSD161,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07
PSERT,1.34,0.0,0.27,0.42,0.58,0.73,0.89,1.04,1.2,1.28,1.34,1.41,1.47,1.53,1.53,1.57
PSP_L,1.34,0.0,0.27,0.42,0.58,0.73,0.89,1.04,1.2,1.28,1.34,1.41,1.47,1.53,1.53,1.57
PSSA160,0.05,0.0,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06
PSSA161,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.07
PTAr,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,3.39,5.59,7.8,10.0,11.77,13.32
PTAr_b,0.0,0.0,0.09,0.14,0.2,0.25,0.3,0.35,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYK3,0.62,0.0,0.12,0.19,0.0,0.34,0.41,0.48,0.55,0.59,0.62,0.65,0.68,0.7,0.73,0.75
PYK4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PYK6,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNTR1c2,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
RNTR2c2,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
RNTR3c2,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
RNTR4c2,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
RPE,1.47,0.0,0.0,0.08,0.2,0.31,0.43,0.54,0.66,1.02,1.47,1.93,2.38,2.84,3.03,3.12
RPE_b,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPI_b,1.62,0.0,0.16,0.32,0.48,0.64,0.79,0.95,1.11,1.35,1.62,1.88,2.15,2.42,2.55,2.62
SADT2,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
SDPDS,0.29,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.26,0.28,0.29,0.3,0.32,0.33,0.34,0.35
SDPTA_b,0.29,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.26,0.28,0.29,0.3,0.32,0.33,0.34,0.35
SERAT,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
SHK3Dr,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
SHKK,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.27,0.28,0.3,0.31,0.33,0.34,0.35,0.36
SHSL1,0.12,0.0,0.02,0.04,0.05,0.07,0.08,0.09,0.11,0.11,0.12,0.13,0.13,0.14,0.14,0.15
SO4t2pp,0.2,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.18,0.19,0.2,0.21,0.22,0.22,0.23,0.24
SO4tex,0.2,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.18,0.19,0.2,0.21,0.22,0.22,0.23,0.24
SUCDi,3.29,0.0,1.62,2.16,2.71,3.25,3.79,4.34,4.88,4.3,3.29,2.28,1.27,0.26,0.0,0.0
SUCOAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.48,0.5
SUCOAS_b,2.88,0.0,1.54,2.03,2.53,3.03,3.52,4.02,4.52,3.9,2.88,1.85,0.82,0.0,0.0,0.0
SULR,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
TDSK,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
THDPS,0.29,0.0,0.06,0.09,0.12,0.16,0.19,0.22,0.26,0.28,0.29,0.3,0.32,0.33,0.34,0.35
THRD_L,0.23,0.0,0.04,0.07,0.1,0.12,0.15,0.18,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27
THRS,0.43,0.0,0.08,0.13,0.18,0.23,0.28,0.33,0.38,0.41,0.43,0.45,0.47,0.48,0.5,0.51
TKT1,0.89,0.0,0.01,0.09,0.16,0.24,0.31,0.39,0.46,0.65,0.89,1.12,1.35,1.59,1.69,1.74
TKT2,0.59,0.0,0.0,0.0,0.04,0.08,0.12,0.16,0.2,0.37,0.59,0.81,1.03,1.25,1.34,1.38
TKT2_b,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMDS,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
TPI,8.17,0.0,1.8,2.62,3.43,4.25,5.06,5.88,6.7,7.44,8.17,8.89,9.61,10.34,11.2,12.12
TRDR,0.19,0.0,0.04,0.06,0.08,0.11,0.13,0.15,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.23
TRPAS2_b,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
TRPS3,0.04,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
TYRTA_b,0.11,0.0,0.02,0.03,0.05,0.06,0.07,0.08,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.13
U23GAAT,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
UAAGDS,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UAGAAT,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
UAGCVT,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UAGDP,0.07,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09
UAGPT3,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UAMAGS,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UAMAS,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UAPGR,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UDCPDP,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UGMDDS,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
UHGADA,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
UMPK,0.3,0.0,0.06,0.09,0.13,0.16,0.2,0.23,0.26,0.28,0.3,0.31,0.32,0.34,0.35,0.36
USHD,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
VALTA_b,0.33,0.0,0.07,0.1,0.14,0.18,0.22,0.26,0.29,0.32,0.33,0.35,0.36,0.38,0.39,0.4
net_flux,696.65,0.0,172.73,247.23,321.85,396.48,471.11,545.75,620.38,663.29,696.65,730.0,763.35,797.1,835.25,874.79
